task_id,task_number,task_dir,status,agent_type,duration_s,returncode,time_to_first_edit_s,commit_count,patch_size_loc,changed_files_count,violations_count,pre_commit,human_commit,success,loc_per_minute,instant_edit,category
vllm_core,1,vllm_core-0001,success,codex,123.42434215545654,0,0.016188621520996094,2,146,1698,1697,fbefc8a78d22b20eac042c586805c7dcbfc66b1c,015069b01741e9ecb9e604c7fe87fbdfc306ebe5,True,70.97465416478805,True,pathological_failure
vllm_core,3,vllm_core-0003,success,codex,171.56537652015686,0,0.028430938720703125,2,62,2579,2576,005ae9be6c22dfa2c2c5580b50b41e67faee4a87,0ec82edda59aaf5cf3b07aadf4ecce1aa1131add,True,21.682696564145882,True,pathological_failure
vllm_core,4,vllm_core-0004,success,codex,154.38183975219727,0,0.03958439826965332,2,113,1950,1949,2b04c209ee98174f29f1fc98f0dc3222d652a7bd,19d98e0c7db96713f0e2201649159431177a56e2,True,43.917082545996166,True,pathological_failure
vllm_core,5,vllm_core-0005,success,codex,284.2462332248688,0,0.06378531455993652,4702,89,2174,2168,f1c8520146031a650404a6ab120ee11e91c10bed,21d93c140d0a97af5f0c59e660cf04bd417fd424,True,18.786528635457753,True,pathological_failure
vllm_core,6,vllm_core-0006,success,codex,121.2352020740509,0,0.03348493576049805,2254,56,2253,2253,b0e96aaebbfbe8e70478e4192a5a13864ffdefa6,22d33baca2c0c639cfd45c48e99803e56c3efa74,True,27.71472264258445,True,pathological_failure
vllm_core,7,vllm_core-0007,success,codex,130.60491490364075,0,0.03480219841003418,3,163,2750,2749,a6d795d593046abd490b16349bcd9b40feedd334,22dd9c2730dc1124b9d0ac15fff223d0b8d9020b,True,74.882327416358,True,pathological_failure
vllm_core,8,vllm_core-0008,success,codex,128.61069989204407,0,0.026276111602783203,1494,40,2008,2007,d263bd9df7b2f5586910e5d006a11ff11ba7c310,25ebed2f8ca6d747d63f2be9ede023c561851ac8,True,18.660966793700382,True,pathological_failure
vllm_core,42,vllm_core-0042,success,codex,162.31867170333862,0,0.06544208526611328,4760,181,2843,2842,5b8a1fde84224e24ec121e0dc149d775330d911b,83450458339b07765b0e72a822e5fe93eeaf5258,True,66.90542675120122,True,pathological_failure
vllm_core,44,vllm_core-0044,success,codex,264.54400610923767,0,0.009259462356567383,2,88,751,748,084a01fd3544557990f8af8af6fd3c1185bae848,89a84b0bb7b30706a02836234a94493ea8f780bf,True,19.958872165184268,True,pathological_failure
vllm_core,45,vllm_core-0045,success,codex,128.10397863388062,0,0.03853273391723633,2,497,2821,2817,76b494444fd864ffc53a623420668d1865c804b9,8a4e5c5f3c1d39e924e48a87c9cc6cf382aa3532,True,232.77965538623235,True,pathological_failure
vllm_core,46,vllm_core-0046,success,codex,170.6759078502655,0,0.0575251579284668,2,88,2911,2909,89ac266b262f08d25ebf25fc66122d1b2367ae64,8aa1485fcff7be3e42300c0615ee0f3f3cbce9a8,True,30.935824900560423,True,pathological_failure
vllm_core,47,vllm_core-0047,success,codex,216.59290409088135,0,0.03463554382324219,2332,223,1414,1404,0fca3cdcf265cd375bca684d951702b6b7adf65a,8bc68e198c4c90ddc2e54fa76eb81c2c714bb1cd,True,61.77487695712236,True,pathological_failure
vllm_core,48,vllm_core-0048,success,codex,135.77748203277588,0,0.0325927734375,2193,50,2158,2157,5fc5ce0fe45f974fc8840175e8321652238400f0,8c1e77fb585c4f42783a3d88c1efc7c9e15fd89f,True,22.094974476517525,True,pathological_failure
vllm_core,49,vllm_core-0049,success,codex,204.4779303073883,0,0.008530855178833008,3,264,648,646,388596c91437a51d428a447594e9faec340c29b2,8d75fe48ca5f46b7af0f5201d8500b9604eed769,True,77.46557281848456,True,pathological_failure
vllm_core,50,vllm_core-0050,success,codex,230.70230221748352,0,0.0031890869140625,2,121,162,153,3257d449fa0fd3e05aa20cc8c5fff79ad101984f,9323a3153b20d4a2ca7ac04a2784609d6ce656e0,True,31.46912679335113,True,pathological_failure
vllm_core,51,vllm_core-0051,success,codex,122.50153470039368,0,0.008205413818359375,3,72,790,789,70363bccfac1a6a0818ea577ad9cf8123a0ec3ae,93e5f3c5fb4a4bbd49610efb96aad30df95fca66,True,35.264864318357944,True,pathological_failure
vllm_core,52,vllm_core-0052,success,codex,219.89549374580383,0,0.08382606506347656,6363,86,2730,2726,20478c4d3abcd0aa8a1d9ace9c76ea3a2e04cb5e,9474e89ba4ecae253b585eb6b3e1d85f4e108f01,True,23.465692325486618,True,pathological_failure
