commit_hash,category,json_has_tests,json_has_benchmarks,repo_related_tests_exist,repo_related_benchmarks_exist,sample_clues
baeded25699f9f4851843306f27f685c4d4ee7c5,model-based,False,False,False,True,"after, attention, backends"
fc542144c4477ffec1d3de6fa43e54f8fb5351e8,kernel-based,False,False,False,False,"none, xgrammar_decoding"
fa63e710c7fbaae3a445f669d3b5ba6b9a4ef412,miscellaneous,False,False,False,True,"execute, forward, gpu_model_runner"
6dd94dbe94c1820a1e224cba65efcf0befa97995,model-based,False,False,False,True,"init, model, model_runner"
aea94362c9bdd08ed2b346701bdc09d278e85f66,miscellaneous,False,False,False,True,"api_server, async, async_llm"
3127e975fb9417d10513e25b80820870f594c627,miscellaneous,False,False,False,False,".pre-commit-config, none, pre-commit"
310aca88c984983189a57f1b72e3b1dde89fb92f,miscellaneous,False,False,False,True,"all, communicators, current"
526de822d501c792b051c864ba873a836d78d5bf,kernel-based,False,False,False,False,"scaled, triton, triton_scaled_mm"
b55ed6ef8ab0dce7fb0f79ff292dafdb4d22610c,kernel-based,False,False,False,True,"add, condense, gpu_input_batch"
f26c4aeecba481ce1445be7a998b0b97460a13bb,miscellaneous,False,False,False,False,"none, ray_gpu_executor"
25ebed2f8ca6d747d63f2be9ede023c561851ac8,miscellaneous,False,False,False,False,"gpu_model_runner, gpumodelrunner, init"
886936837ca89e5645bc1f71cc0e1492b65b1590,miscellaneous,False,False,False,True,"add, core, evict"
f092153fbe349a9a1742940e3703bfcff6aa0a6d,miscellaneous,False,False,False,True,"gpu_input_batch, gpu_model_runner, gpumodelrunner"
3b61cb450d899dc423feb264c297d4d18d701678,kernel-based,False,False,False,True,"and, attention, attn"
9323a3153b20d4a2ca7ac04a2784609d6ce656e0,model-based,True,False,False,True,"__init__, arg_utils, async"
98f47f2a4032f8c395268de80858c64ffcfc60fa,model-based,False,False,False,True,"attention, attn, backends"
8c1e77fb585c4f42783a3d88c1efc7c9e15fd89f,kernel-based,False,False,False,False,"cmakelists, none"
b2e0ad3b598ed0e022cdbd678a20821d411873c2,model-based,False,False,False,False,"forward, llama, llamaforcausallm"
81ede99ca44a5b3518932a07ea4a76a719e7416e,miscellaneous,True,True,False,True,"arg, arg_utils, benchmark_hashing"
83450458339b07765b0e72a822e5fe93eeaf5258,model-based,False,False,False,False,"ngram_worker, none"
6d646d08a2e0e73e83e313a5ae470c1f9e4f200e,miscellaneous,True,False,False,True,"async_llm_engine, asyncllmengine, execute"
bd852f2a8b9e9129de69fa7349906a9115538d5a,model-based,False,False,False,True,"cache, llmengine, prefix"
6e36f4fa6ce64619b9ea94c88a157f5783a63a65,miscellaneous,True,False,False,True,"core, schedule, scheduler"
ce6bf3a2cff4860c5661cac2280e0a28bedb6440,model-based,True,False,False,True,"__init__, compilation, envs"
e3580537a41a46b0f3cd750b86b633c1857a8c90,miscellaneous,True,False,False,True,"block_manager_v1, block_manager_v2, blocks"
2deb029d115dadd012ce5ea70487a207cb025493,miscellaneous,True,False,False,True,"block_manager_v2, blocks, blockspacemanagerv2"
ab7165f2c7ea358df969d68a0fb0ce9bb184a083,model-based,False,False,False,True,"forward, init, native"
fc7b8d1eefcbe837a56b7c080509417fe5167e6c,miscellaneous,False,False,False,False,"block_manager_v1, blockspacemanagerv1, finished"
e02ac5561748306186aaeaad6dad4c89484a2b45,miscellaneous,False,False,False,True,"__init__, attention, attn"
660470e5a36b8e52083615ad7c85e9b4fd4c72ce,miscellaneous,False,False,False,False,"evictor_v2, none"
6ce01f30667bbae33f112152e07a3b66b841078f,miscellaneous,False,False,False,True,"block_manager_v1, blocks, blockspacemanagerv1"
a0dce9383ab7de0015060fb9fedadeb7d8ffdfb9,miscellaneous,False,False,False,False,"config, modelconfig, parse"
89a84b0bb7b30706a02836234a94493ea8f780bf,model-based,False,False,False,True,"array, executor, from"
