commit_hash,category,json_has_tests,json_has_benchmarks,repo_related_tests_exist,repo_related_benchmarks_exist,sample_clues
9042d683620a7e3fa75c953fe9cca29086ce2b9a,miscellaneous,True,False,False,True,"conftest, cpu_model_runner, flash_attn"
9ed82e7074a18e25680ab106fc846364ad97bc00,miscellaneous,True,False,False,True,"__init__, block_table, blocks"
2bb0489cb3367e46e201e84ab629df535544495b,model-based,False,False,False,False,"from, lists, sampling_metadata"
3476ed0809ec91a3457da0cb90543133a4f4b519,miscellaneous,True,True,False,False,"allocate, benchmark_latency, block"
7c01f706418d593b3cf23d2ec9110dca7151c539,miscellaneous,False,False,False,True,"finished, sequence, sequencestatus"
319ad7f1d386699e94f629341c9988a926821f24,miscellaneous,True,True,False,True,"arg, benchmark-pipeline, benchmark_latency"
80aa7e91fcd547a7a1396f71b9bdce18e5c92245,kernel-based,False,False,False,True,"attention, attn, backends"
8d75fe48ca5f46b7af0f5201d8500b9604eed769,kernel-based,False,True,False,True,"_custom_ops, apply, custom"
a377f0bd5e1fa0ca069e3dbf28f4de5af64d0bb1,miscellaneous,False,False,False,True,"make, pad, tensor"
eb6d3c264d0cd8e44dec16bca7947fbe96415ce9,miscellaneous,False,False,False,False,"async, async_llm_engine, asyncllmengine"
8bc68e198c4c90ddc2e54fa76eb81c2c714bb1cd,model-based,True,False,False,True,"arg_utils, envs, executor"
379da6dcb5f5d062d0452b2fc23291e5113dcf04,kernel-based,False,False,False,True,"_custom_ops, apply, custom"
ad932a221d2a4c1e6355021bb9e9c47f7a179e51,model-based,False,False,False,False,"add, cache, clone"
d7740ea4dcee4ab75d7d6eef723f33cae957b288,model-based,False,False,False,False,"none, sampler"
2a052011ca473a9dc8160f3daa1f5f63a2ad1fe3,kernel-based,True,False,False,False,"mixtral, mixtralforcausallm, mixtralmodel"
ad8d696a99ca1eee19f1404e16e8e82df592ff85,miscellaneous,True,False,False,True,"allocate, and, core"
2f1928354903ae0c6edfe76cc90081eb513ead2c,miscellaneous,False,False,False,True,"block, block_manager_v1, core"
b6d103542c654fb63013a1e45a586d654ae36a2a,kernel-based,True,False,False,False,"cuda, forward, layernorm_kernels"
3a243095e5e7b655b63ab08fbd5936cb40850415,model-based,False,False,False,True,"executor, get, layers"
bfdb1ba5c3fb14387c69acb1f5067102d8028e56,model-based,True,False,False,True,"detokenizer, llm_engine, llmengine"
cf2f084d56a1293cb08da2393984cdc7685ac019,miscellaneous,True,False,False,True,"arg, arg_utils, config"
9474e89ba4ecae253b585eb6b3e1d85f4e108f01,miscellaneous,True,False,False,True,"block, block_manager, blockspacemanager"
f8ecb84c0283a7f1ba02ee732c9f044f8f9d36ee,kernel-based,True,False,False,False,"bgmv_all, bgmv_bf16_bf16_bf16, bgmv_bf16_bf16_fp16"
fd4ea8ef5c17a8b991107402a414f6ed355d854d,miscellaneous,True,False,False,True,"adding_model, aquila, async_llm_engine"
21d93c140d0a97af5f0c59e660cf04bd417fd424,model-based,False,False,False,True,"__init__, config, dockerfile"
ec3b5ce9ccb4262194a16a8b1c31ffd6b3b824b9,miscellaneous,False,False,False,True,"detokenize, detokenizer, get"
0f40557af6141ced118b81f2a04e651a0c6c9dbd,kernel-based,True,True,False,True,"benchmark_latency, cache, cache_engine"
897cb2ae28e93de1b22ecfbffcccfb9493f8f4d9,kernel-based,True,False,False,True,"activation, activation_kernels, attention"
c45f3c3ab60f4bf4eaab791a76028b8b07ffe9bd,model-based,False,True,False,False,"__init__, benchmark_latency, columnparallellinear"
d4bc1a4d248a5d23e1f731ecb53511a9a54f5dfc,model-based,False,False,False,True,"attention, forward, opt"
